0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,tempo,label
-130.09888999999998,90.300446,2.5855525000000004,16.103754000000002,-10.01801,18.186239999999998,-5.2173824,21.236729,-1.73023,13.571582999999999,-7.204016,9.161007000000001,-3.6910272000000006,9.915061,-0.14876883,11.343038,0.016099753,6.7027925999999995,-2.0571032,3.5703995,-3.1744168,2.2831104,-0.6774773000000001,3.6774769999999997,-0.69018245,0.84352005,-2.8197765,-0.20493522,-1.8767957999999998,0.15278354,0.07739825,-1.0457743,-3.1446176,-1.7971543999999997,-1.1457258,-1.1265298000000001,-1.8365128000000002,-0.25904757,-0.22804976,-1.6650403999999999,-2.7851422,-0.75348973,-1.3888433999999998,-1.6536273999999997,-2.4446754,-2.2722476,-1.8366876,-0.90221274,-0.49871800000000005,0.378367,0.44634876,-0.52084506,-0.27764875,-1.1206871999999999,-1.0278494,-1.2998542,-1.2607104,-1.165174,-1.4069437,-1.278053,-0.27222568,-0.33370304,-0.7948656,-0.25894922,-1.0162776,-1.5617809,-2.2248938,-1.6662436999999999,-0.67315894,-1.3899188,-1.0804790000000002,-0.57061183,-0.84130067,-0.7198255,-1.1354748,-0.7488233,-1.3449383,-1.5088489,-0.89072114,-0.9410469000000001,0.038585786000000004,-0.8122105,-0.69361126,-0.8030255999999999,0.0031865297,-0.66022533,0.45307475,-0.37391440000000004,-1.0610713999999999,-0.664539,-1.1484925,-0.87417656,-0.7160288,-0.32145100000000004,-0.07965967,-0.71377003,-0.21670803,-0.65902746,-0.260002,-0.80588514,-0.43499646,0.26608646,0.057340495,0.38955474,0.4653557,0.5443321,0.11864422,-0.43313226,0.07343076,0.11286807,0.30550423,0.32070738,0.055541499999999994,-0.3707415,0.35451704,0.38512690000000005,0.27804038,0.30051675,0.29148898,0.23775464,0.25021535,0.2216,0.37588233,0.41551867,0.33695823,0.29658207,143.5546875,2
-57.84284,82.55632,-30.598545,22.693279999999998,14.124689000000002,16.099392,-1.8886751,25.248144,-10.132616,18.179739,-2.356132,14.008973000000001,-4.330558,10.282366,1.2251076,9.944527,-3.200018,9.577183999999999,-3.3065242999999995,6.7391334,-2.531521,4.360475,-2.0259191999999997,4.6592226,1.1092708,7.5200759999999995,2.6908176,6.562883,0.5619909000000001,4.941738,2.7401977000000004,2.1046007,-2.015894,-0.89464617,-2.8304706000000004,0.57000077,-0.9679494000000001,2.6129713,1.4558406000000002,1.1444743999999998,-1.2660235,1.636232,0.49684890000000004,0.28488934,0.5235752,-0.047099947999999996,-0.318222,2.5861096000000003,3.0203354,-0.15734188,-6.1721845,-1.0751008,-0.08587824599999999,0.29749483,-0.15604058,-1.2682058999999999,-1.453581,-1.3140087,-2.7357717,-2.2090352,-0.076127455,0.23159870000000002,-0.7125210999999999,-0.38991952,-2.8166142000000005,-2.2391193,-2.9384947,-1.0577912,3.4230676,-1.3697048,-4.5352154,-2.0046988000000003,-0.26353255,-0.34716314,-1.210855,-0.81635267,-2.5480162999999996,-2.5791602000000005,-3.169012,-1.1245437,-1.5117399999999999,-1.5543354,-0.11099952,-0.48675025,-0.44146720000000006,0.33903816,-0.06991739599999999,-0.65246516,-0.69597244,-0.6494344,-0.41771210000000003,-0.876397,-0.20771620000000002,0.12964909,-0.4793259,0.3933031,-0.43036813,-0.2192478,-0.43657467,-0.46449979999999996,0.37593457,0.32520866,1.1841357,0.7452639,0.063880034,-0.43291409999999997,0.5349569000000001,0.7807305,0.5622539000000001,-0.11872181,0.94462264,0.56865275,0.32194227,-0.20368461,0.12650333,0.16756383,0.19633654,0.19885382,0.28483322,0.41127688,0.83176106,0.46280855,0.40285740000000003,0.21275309,0.12628144,0.13858081,143.5546875,2
-73.428825,113.462296,-13.204170000000001,31.560474,-5.322914,15.487798000000002,-8.9850235,7.9511447,-9.919069,7.947607499999999,-10.479389999999999,6.889054,-6.343024,7.5838814,-4.4540324,4.6058435,-3.6661483999999995,5.5534897,-4.950740000000001,1.158176,-6.407508999999999,2.1672251,-1.1256894,4.9093013,1.1431803,3.8481898,0.33935347,-1.4886957,-7.7264100000000004,-0.70929664,2.1762113999999997,1.2603089,-5.0746474,-2.6743677000000003,-1.8073152,0.82049686,1.2526983,0.74852246,-2.1919717999999997,-3.2650932999999998,-3.9687572,-4.1038809999999994,-5.568101,-5.462944,-3.044633,0.7724114000000001,-2.7126200000000003,0.874576,7.4880557,2.5413718,-11.940261,-9.423233999999999,0.21187563,2.2249327,-0.3580277,-2.52758,-2.9867772999999995,-2.7856544999999997,-3.1312467999999996,-1.2492883,-1.2556366,0.18819442,1.4130931999999998,0.79698724,-1.6063538,-7.120054,-8.592410000000001,-0.3615525,4.2032824,-4.2271004,-6.0176004999999995,1.3846397,4.40643,4.082737,2.9588637,0.7903404,-1.0835540000000001,-2.46462,-3.305554,-1.0130686,1.4635236999999999,1.6475,0.68160987,0.10894971,-2.1554682,-2.6510252999999997,-2.2172827999999996,-3.1564445,-2.9658724999999997,-0.05354373,1.5487151000000001,1.1227260000000001,1.3811668,0.09838041,-1.0967672,-0.30530345,-0.7759193,-1.2093011,0.22083339,-0.40577254,-1.340208,-1.1926451999999998,-0.71609443,-0.47377434,-0.75623083,-0.57199705,-0.32491332,-0.54771674,-0.23316087,1.1121151000000002,0.96475947,0.8444964,1.411327,0.63146234,0.100472935,0.30171,0.16067693,0.09715181,0.30525512,0.13020441,0.45848626,0.08996307,0.114113115,0.1972918,0.1304683,0.39633873,117.45383522727273,2
-132.98,44.15303,5.8524547,40.52365,2.2637603,24.586346,-4.4103913,21.114286,0.7727299,23.657857999999997,-1.9517891,10.323201,-4.969331700000001,10.995376,-2.5865555000000002,9.413258,-1.8803955,7.727825999999999,-1.5774077,5.3048470000000005,-6.333891,2.0751934,-5.0823126,1.7542346000000002,-3.3130059999999997,0.45741698,-2.3715658,0.19733098,-2.1018442999999998,0.05659241,-3.5715811,1.0875033,-0.58533096,2.6914458,2.0873623,3.9319483999999996,1.4753561000000002,3.0317967,0.67578137,0.8769311,-1.0439956,-0.3610943,-0.47250459999999994,-0.9639143,-1.5318508999999998,-1.4198256,-2.4561450000000002,-1.5599906000000001,-1.9996546999999998,-1.4720739999999999,-1.2678133999999999,-0.7874949,-0.42576206,-0.41436362,-1.0237043,-0.74409395,-1.5773956,-1.5350193,-2.508769,-1.6521251000000001,-1.7294923,-1.7873172,-0.61588305,-0.9112021,0.38213179999999997,0.32971197,1.232458,1.1835148000000002,1.6983398999999997,1.8395268,1.3774073,0.97126234,1.0207229,0.91824883,1.5875502000000001,0.8508734,0.6852486999999999,-0.09911752,-0.1796125,-0.27044675,0.22669829999999996,-0.12690894,-0.8609973,-0.2323863,-0.69125754,0.0401102,-0.37444973,-0.3269025,-0.053840157,-0.9140749,-0.09451941,-0.21511151,0.29611146,-0.42212626,0.013174196,-0.73977375,-0.19208908,-0.45211450000000003,-0.5179547999999999,-0.96642005,-0.77696645,-0.08787997,0.16609585,0.10048725,0.20314804,0.04739316,-0.18541443,-0.23979601,-0.023206967999999998,0.105322346,0.09950788,0.05936993,0.09599725,-0.3147062,0.028227963,0.04927569,0.081791356,0.13107847,0.18783753,0.37321588,0.5422070999999999,0.6217033000000001,0.16407214,0.09074497,0.029175485,0.016938519,161.4990234375,2
-115.41878999999999,58.54571,1.4924872,32.087165999999996,-4.032907499999999,25.151556,-5.420876,17.346941,-5.666542,15.858028,-5.9649606,12.519238,-3.2665157000000002,12.196316,-5.5301743,9.805966,-4.674764,4.9577227,-5.3378906,2.9492984,-4.673788500000001,5.733897,-1.4492098,5.8176136,-2.9716308,1.6894814999999999,-3.725078,1.9503828,-2.6862519,0.6208561,-2.7932866,3.3597796000000004,-1.5456957,0.0990043,-1.381308,-1.1699108,-4.516148599999999,-0.8552815,-2.1623628,-1.2733463,-4.439789299999999,1.5763406999999998,-2.8579338,-0.32845595,-0.74677813,0.7975746,-0.75057393,0.23852181,-2.0320535,-2.0115616000000003,-3.3378407999999995,-0.8284684999999999,-0.91981095,-1.8451855,-1.8317782,-1.2376521999999999,-3.6380098,-2.0943983,-2.1815171,-0.46083584,-2.8115667999999996,-1.7708077000000002,-1.9068296999999998,-0.56968015,-1.4106153000000001,-0.6955456,-1.1491176,-0.20927766,-1.747084,-0.17908043,-1.9238386000000003,-0.73601544,-0.5592284000000001,-1.7973017,-1.2520038999999998,-0.93010336,-1.4988511999999998,-2.0026715,-1.9184775,-0.43010378,-1.7538031000000003,-0.44175333,-0.15910339999999998,0.024556166,-0.9776435,-0.32727984,-0.47687203,1.4651928,1.2978292,0.1892179,0.5901658000000001,0.041268595,-0.08195116,1.0371453000000002,0.5275146,1.8981931,-0.7399803,-1.3913813,1.2603986,0.77085453,-1.5460459999999998,0.19240244,0.1487945,1.2722096,0.8423156999999999,0.22790359,0.50431913,-0.32626626,-0.54366773,1.3811966,0.94303167,0.17042264,-0.52957004,-0.18218997,0.43205532,0.5392056,0.54993063,0.46036455,0.22363725,0.092670485,0.07327143,0.07024591,0.08429354,0.15817061,0.16614112,0.1954251,151.99908088235293,2
-164.76953,91.75520999999999,8.303089,43.71438,11.217054,24.897057999999998,2.7039392,15.830881,2.962056,10.653352,-3.2014537,6.4798803,0.38600683,8.070955,-3.06587,-0.654323,-6.2191279999999995,0.63264203,-0.33025408,6.943739,-0.7717935,0.76630765,-1.3722553,0.58730394,-2.4284606,-2.5115632999999997,-4.0052085,-0.50818485,0.08691822,-1.1449664,0.63557893,4.746611,3.3859897000000005,2.8611584,3.0606177000000003,3.9290550000000004,3.5150476000000004,2.5598582999999997,4.2990537,8.876486,5.0951333,0.72866654,0.24520847,0.67623407,-0.034675665,-2.1180925,-1.4131653,-0.2827577,-0.15997143,-1.8207619,-1.4244158000000002,0.6735444,-0.4716611,-0.8825786,-3.1152425,-2.1146803,-2.5864935,-3.4448814,-1.1004215,-1.0573882,-1.2465516,-0.070620775,0.7823254,1.6903857,4.3895397,4.73839,4.112292,1.3593633999999999,-3.26372,-2.4978597000000002,-1.9743779,-3.5028756000000003,-4.041619,-3.5856261,-2.4339516,-1.2318995000000001,-0.6677036,-1.2305032,-1.5197258999999999,-1.1630728000000001,-3.067356,-2.4456917999999996,-1.2676618,-2.152555,-1.6709856,-1.8407328,-0.9644777,-0.12310258,-1.0540047,-0.85523534,-0.6344866,0.34057617,1.3896406000000001,0.47259176,0.9195884,1.221926,1.1623056,1.7680504000000001,0.22177449,-0.42611986,0.25564343,0.10726219,-0.16281117,0.31839636,-0.1606846,-0.5881348000000001,-0.94694066,-1.4440912000000001,-0.9493345999999999,-0.9823811,-0.6575770000000001,0.16526271,-0.42120233,0.6675703000000001,0.1557758,0.10332498,0.10041736,0.17928588,0.31668735,0.8886146,0.50438774,0.26918802,0.36817658,0.23588882,0.10629029599999999,0.06926695,143.5546875,2
-123.77328999999999,96.44411,-23.122695999999998,27.069846999999996,-7.166278999999999,15.362587,-3.3994455,17.625935000000002,-6.1049633000000005,12.728935,-6.136979,6.822433,-1.9970835,10.568188000000001,0.42498124,10.028977000000001,0.86137027,4.4146529999999995,-5.1241927,-0.6871119000000001,-1.1287826,4.2270617,-3.5606055,0.57792693,-2.4626226000000004,-2.0149484,-1.2983065,2.1699796,2.9540849,7.411821000000001,6.7547045,1.7865188000000003,-0.42775658,0.58108896,-2.5215142000000004,0.24424458,-0.52113086,-1.1504208999999999,-2.8503757000000003,-3.8720962999999995,-2.3528264,-0.6346505,-1.0221858,-0.6151496,-0.74958205,-0.49869496,-0.20643139,1.1585796,0.78876424,-1.1583191000000002,-0.26547453,-1.5607232,-0.6591199999999999,-1.6981074,-1.6395847,-1.5360187,-0.56976515,-0.8152186,-0.9682693000000001,1.7039005,0.003271154,0.33281097,-0.81984764,-1.2258127,-0.5433281999999999,-0.97020864,-1.0650568,-1.5687592,-1.0993166,-0.4437755,-0.84732443,-0.61066425,0.14276291,0.18450487,-0.03721913,0.37339365,0.20917085,-1.4027454,-1.051049,-0.8765193000000001,0.05015246,-1.6450715,-1.7739372,-1.4874746,-1.486873,-1.0211587,-0.6652443,-0.30059648,-0.9756216999999999,-0.68375593,-0.9192389000000001,-0.6994335,-0.24477996,-0.16492897,0.07889275,-0.583299,-0.012302315,-1.1104336000000001,-1.0429535,0.34809512,0.17117865,-0.07137304,-0.13762581,-0.3502608,0.13838112,-0.23561305,-0.08002969,-0.6744022,-0.42583182,-0.8257076999999999,-0.34543818,-0.14122598,-0.71370924,-0.24924304,0.093223765,0.09429468,0.05713108,0.05571834,0.10595705,0.15463553,0.2829507,0.56287664,0.6071828,0.45257646,0.27457637,0.11148388,143.5546875,2
-105.49193600000001,86.2377,-0.6506097,22.455515,4.0588536,23.826979,-4.4630136,19.367641,-5.5328627,16.144194,-4.318825,13.616922,-3.7070432,7.78021,-2.2106485,8.176655,-1.8660368999999999,5.787382599999999,-2.6520553,5.2062707,-2.3228085,3.9409807,-0.63316876,4.4113489999999995,-0.9415336999999999,1.3047034,-0.55315673,2.9401919999999997,-0.6477182,1.3715076000000002,-0.90889424,1.5557753,1.0597157,1.3691471000000002,0.8598631999999999,-0.4956955,-2.2850013,0.024133619,-1.7627009999999999,0.76279145,-2.3548782000000004,-0.07083719999999999,-2.713223,-0.8060066,-2.836096,-1.8686831999999998,-1.6860220000000001,-0.2860823,-1.4081881,-1.0355193999999999,-0.5302007,-0.9610619,-0.0874002,0.02984067,-0.7744861999999999,-1.2775208999999998,-1.0529433000000001,-1.4403526000000002,-0.547357,-0.019631967,-0.53832716,-1.4588508999999998,-0.3819068,-0.057307675,-0.7706491,-1.105458,-1.3665603000000002,-0.83575094,-1.9592429,-1.0999697,-0.5341428,-0.4844013,-0.36075082,0.19445617,-0.73166823,-0.50077575,-2.2049425,-1.1070672,-1.5719835,-0.51657563,-0.76703256,-1.4983486000000001,-0.48959544,-1.6242809,-0.23585536,-0.99902064,-0.5957018,-0.6404342,-0.36417335,-1.0909977,-0.39202058,-0.2906681,-0.4634827,-0.71261555,-0.74990624,-0.4553933,-0.47259575,-0.113479756,-0.97835135,-0.36351013,-0.5236202,0.7827460999999999,0.4341209,1.0319531,0.57344824,0.2720348,-0.018005792,0.33094582,-0.06837262,-0.004988649,-0.051940586,0.07297931,-0.116803095,-0.46411076,0.35496536,0.27506232,0.22675163,0.22158141,0.27421805,0.43926135,0.42871583,0.3836256,0.3314618,0.46534485,0.45987678,0.29327375,184.5703125,2
-66.118095,92.93861,-8.263879,31.008224,4.6843095,26.002481,-4.5578384000000005,17.404757,-3.2915757000000005,7.215766400000001,-6.5606713,15.85759,-8.483689,7.350569,-9.586432,-1.7916824,-10.629152000000001,2.3776085,-6.782708,3.9174572999999997,-5.1571913,2.1611377999999997,-6.2501682999999995,-0.41847324,-3.3580124,1.1526493999999998,-4.0552583,1.6356775,-2.7444391,-1.2921326000000002,-1.7240813000000001,0.5319257,-2.9541494999999998,0.9869167999999999,-4.0808554,-1.0013433,-3.0648413,-0.9177732,-2.5846732000000006,-0.91313404,-3.4109712,-0.54770416,-1.5280296,-0.60966945,-2.0191011000000003,-0.32110044,-1.9950477999999998,-0.085997775,-0.8676219000000001,0.082647,-1.2426548000000002,0.69690585,-1.5597781000000002,-0.27925915,-1.2712456,-0.37557740000000006,-1.1614506000000002,-0.98609126,-0.6378778,-0.85124993,-1.8224242,-0.342957,-2.3088092999999996,-1.1474753999999998,-1.9405951000000001,-1.4479558000000001,-2.0482953,-2.1092215,-2.0405533,-1.4321378,-1.8220599999999998,-1.4675986,-1.5782145,-1.5865557,-1.3626697,-1.5090398,-1.9543921000000002,-1.3540370000000002,-1.8270642,-1.2089319,-1.4320576999999999,-1.3437642,-1.3981142,-0.9034314,-1.3692434,-0.37965694,-1.4688748999999999,-1.820153,-0.9657976999999999,-0.8837082,-1.6093162,-1.3761561000000002,-2.2817006,-2.2006669999999997,-1.7648531000000003,-0.41974744,0.5859810999999999,1.3394078999999999,1.9035498,-0.060416363,-0.46827337,-0.16292888,-0.51813775,0.10478284,0.71129304,0.08094842,-0.5680056,-0.13045757,-0.69812995,0.59047806,0.8818866,0.6970542,-0.49604475,-0.7546271999999999,0.60801226,0.6158944000000001,0.27463126,0.21434835,0.18908316,0.24225892,0.28865448,0.2690134,0.3102474,0.47787529999999995,0.5048939,0.48059142,151.99908088235293,2
-192.87558,55.0375,2.6375252999999996,41.01325,3.9980415999999996,30.253534000000002,-4.045293,21.444748,-4.6401129999999995,19.51449,-2.0372987,10.613413000000001,-3.9978385000000003,8.670239,-2.8978314,6.869725,-1.2381473,7.654700999999999,-0.41585675,3.4568693999999995,-0.3696257,2.033493,-4.260343,2.8002865000000003,-2.0900726,5.702602,-1.0127916,4.515778500000001,-3.3203940000000003,2.2511075000000003,-1.0503448,1.8236065,-1.0227458,0.08805667,-0.3859944,0.8327479,-0.12148387,1.4417062,-1.8996343999999998,-1.714951,-0.5246831,0.09884187,-2.9918911,0.7625303000000001,-1.0957146999999998,0.94364333,-1.3964415000000001,0.36673287,-1.8531126,0.5856274,0.1428546,0.48907393,-0.33381024,-0.32963112,0.010209366,-1.1430493999999998,-1.5441431,-0.4841678,-1.3656641,-0.81604296,-0.5201045,1.3746848999999999,-1.3440716000000001,-0.8502963,-1.5674645,-0.56378216,-1.7642567,-0.76843405,-0.59993064,-0.20840551,0.50968325,-1.0916127,-1.6995662,-0.93551695,-1.4127253,-0.47709367,-0.18427297,0.5234537,-0.51747394,-0.30267268,-0.420637,-0.17615646,-1.4742031999999998,-0.30426726,-0.033952747,0.040345717,0.49475077,-0.74304914,0.15842026,0.46149415,-0.08676404,-0.51761556,-0.43373249999999997,0.09992287,-0.09449834,0.45897037,-0.32911915,-0.22962639,-0.31262293,-0.5739223000000001,-0.616032,-0.053991616,-0.028760282,0.3217211,0.48795164,-0.5604087,-0.56959224,-0.14721315,-0.7189045999999999,-0.4517773,-0.20774294,-0.12281491,-0.42255235,-0.23453856,0.09185524,0.115765445,0.11029105,0.07298882,0.07109448,0.27488554,0.27028143,0.40778866,0.2404712,0.6164291999999999,0.3514837,0.08966616,135.99917763157896,2
