title,genre,file_path,tempo,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
test,DnB,D:\MusicSubset\DnB\614music+dancingwithspiritsfreedl.mp3,151.9990808823529,0.3820423975760697,0.1947981534072372,0.2264764508192388,0.3307609796725037,0.17315588213613914,0.22886013934890334,0.3617105570281671,0.5820972263368189,0.5704691866502091,0.3603979387254913,0.2723052036803929,0.2216896661904881,66.82212829589844,63.217987060546875,13.106135368347168,14.135823249816895,14.50294017791748,14.956725120544434,9.780402183532715,11.947869300842285,11.979615211486816,11.09253978729248,8.437883377075195,11.584688186645508,5.620203495025635,10.683910369873047,6.320376396179199,7.742544174194336,2.8142340183258057,8.8637056350708,3.5264503955841064,4.323233127593994,1.6768680810928345,5.6172590255737305,0.1982491910457611,7.4931960105896,0.8467022180557251,2.594226837158203,1.5949519872665405,3.0270771980285645,1.1110528707504272,3.431027889251709,4.2840728759765625,0.9314681887626648,2.2701218128204346,0.9605305194854736,1.8159064054489136,0.5101444125175476,1.801909327507019,0.3932526111602783,2.190983772277832,2.3055825233459473
one04 866609,DnB,D:\MusicSubset\DnB\axaschaller+one04.mp3,184.5703125,0.3820423975760697,0.1947981534072372,0.2264764508192388,0.3307609796725037,0.17315588213613914,0.22886013934890334,0.3617105570281671,0.5820972263368189,0.5704691866502091,0.3603979387254913,0.2723052036803929,0.2216896661904881,-66.82212829589844,63.217987060546875,-13.106135368347168,14.135823249816895,-14.50294017791748,14.956725120544434,-9.780402183532715,11.947869300842285,-11.979615211486816,11.09253978729248,-8.437883377075195,11.584688186645508,-5.620203495025635,10.683910369873047,-6.320376396179199,7.742544174194336,-2.8142340183258057,8.8637056350708,-3.5264503955841064,4.323233127593994,-1.6768680810928345,5.6172590255737305,0.1982491910457611,7.4931960105896,0.8467022180557251,2.594226837158203,-1.5949519872665405,3.0270771980285645,-1.1110528707504272,3.431027889251709,-4.2840728759765625,-0.9314681887626648,-2.2701218128204346,0.9605305194854736,-1.8159064054489136,0.5101444125175476,-1.801909327507019,0.3932526111602783,-2.190983772277832,-2.3055825233459473
Dead or Alive,DnB,D:\MusicSubset\DnB\beatcomplot+deadoralive.mp3,184.5703125,0.23024338742571754,0.19363393773808,0.494268165270103,0.1537220521998149,0.14472719243934934,0.2482670967518009,0.267913862718661,0.4406578669766352,0.5651534733761494,0.5938009281777358,0.20661148816476144,0.16339330017152925,-120.81285095214844,56.638614654541016,-7.108664512634277,16.47209930419922,-13.281970977783203,16.41470718383789,-14.566765785217285,10.484407424926758,-10.88968563079834,6.192947864532471,-9.889657020568848,13.031557083129883,-8.093207359313965,3.8206329345703125,-6.213407039642334,7.143752098083496,-4.855196475982666,6.876101493835449,1.9848780632019043,7.589453220367432,-6.41614294052124,3.1782751083374023,-3.7656524181365967,1.50888192653656,-4.141759872436523,1.8615936040878296,-4.780216217041016,-1.3280749320983887,-8.711562156677246,-1.8394715785980225,-0.4905218482017517,3.0628416538238525,0.4096572995185852,0.5404077172279358,-2.085273027420044,1.0162404775619507,0.24399565160274506,7.7578325271606445,1.3242534399032593,6.508275985717773
*DnB* Panacea 1Hit Free DL!!!,DnB,D:\MusicSubset\DnB\beatjunkierato+dnbpanacea1hitfreedl.mp3,184.5703125,0.45221496825536794,0.3895932681773805,0.3388778918155048,0.3013056141257437,0.3689819579571548,0.5047646893094924,0.4730520748696319,0.5608957153771408,0.5571904577321094,0.6329220319337828,0.496571929035902,0.5476083710040156,-96.86248779296875,60.331520080566406,-2.429701805114746,35.61803436279297,-1.466683030128479,29.709991455078125,-4.544594764709473,18.11598777770996,-5.420158386230469,13.538494110107422,-4.453019142150879,12.778878211975098,-6.873015403747559,7.464479446411133,-9.247118949890137,7.38910436630249,-5.165439605712891,6.154470920562744,-5.4539079666137695,6.742938041687012,-0.057104334235191345,6.339139938354492,-4.007943153381348,1.9884179830551147,-1.8227943181991577,2.101078748703003,-2.1192378997802734,2.567248821258545,-2.0299723148345947,1.0542829036712646,-0.2752212584018707,4.044380187988281,-2.1403770446777344,-0.2800576686859131,-1.6014033555984497,0.2377430945634842,-1.324471354484558,1.0269217491149902,-2.314347982406616,1.8835071325302124
*Jungle* Sensi |#1Hit Free DL!!!,DnB,D:\MusicSubset\DnB\beatjunkierato+junglesensi1hitfreedl.mp3,172.265625,0.23704234241433544,0.2238866723625445,0.3833244970626706,0.3406682471468294,0.29259003730621824,0.4751304782379598,0.29078862395637817,0.4448519999147895,0.2252512313364896,0.2506653320380216,0.4021276916333565,0.17225255251299942,-84.97957611083984,102.94454956054688,5.220630645751953,28.00577163696289,-5.188204288482666,16.352581024169922,-5.758214473724365,15.065767288208008,-7.130521774291992,13.303000450134277,-5.691717624664307,9.462081909179688,-5.935908317565918,6.2719502449035645,-4.849076271057129,6.592453956604004,-2.3977949619293213,5.8598103523254395,0.8456069827079773,5.768821716308594,-4.600078105926514,1.1007616519927979,-0.4133467376232147,2.8735158443450928,0.28989699482917786,1.8088483810424805,-2.5951733589172363,-0.9897421002388,0.6406841278076172,4.259083271026611,-0.4048196077346802,-3.589657783508301,-2.6033148765563965,0.685787558555603,0.6386424899101257,2.66882586479187,0.8083972334861755,0.15595504641532898,-2.7997331619262695,-2.4323019981384277
War Paint,DnB,D:\MusicSubset\DnB\blackheartthesamurai+warpaint.mp3,184.5703125,0.20135710818507585,0.1942024908578657,0.23207143435568303,0.25291085941547664,0.2466083884503402,0.3323933661620704,0.4671841001677969,0.8345609100890381,0.6457281661012199,0.3904636511057459,0.2524257187705097,0.2026154385449752,-65.586669921875,112.17992401123047,-6.283459186553955,22.66253662109375,0.0027771901804953814,17.885379791259766,-2.4815571308135986,11.306866645812988,-3.677706480026245,11.925885200500488,-4.311397552490234,7.4239654541015625,-8.096460342407227,5.326488018035889,-7.861228942871094,7.570194721221924,-1.6476691961288452,2.8579747676849365,-2.053858995437622,4.608200550079346,-5.682945728302002,2.694561719894409,-1.2854355573654175,2.3862922191619873,0.4616020917892456,1.8945488929748535,-2.2570807933807373,1.7339543104171753,-0.5245102047920227,2.6837661266326904,-0.9899364113807678,1.1725788116455078,-1.3109421730041504,3.1760435104370117,3.610146999359131,5.609592437744141,1.745263934135437,-1.6990418434143066,-2.809882640838623,-0.29630494117736816
Bloctronic - get gone (Final),DnB,D:\MusicSubset\DnB\bloctronic+bloctronicgetgoneftjasmineknight.mp3,172.265625,0.21846569830339296,0.2621476007385436,0.3620067065486503,0.3009177718294516,0.33585312234931664,0.2492037657336681,0.30284827138841164,0.4623911216105296,0.4361161012132766,0.4069055544513739,0.3463536346291515,0.3262546981553513,-109.01896667480469,46.924373626708984,17.509891510009766,40.077640533447266,-4.474272727966309,25.284244537353516,-16.00827407836914,12.843073844909668,-10.216341972351074,13.27026653289795,-0.6408001780509949,14.101350784301758,-6.459089279174805,3.7870357036590576,-7.999773979187012,7.293564796447754,-1.5790942907333374,-0.24386458098888397,-12.014949798583984,-0.6611353158950806,-4.588157653808594,-0.8216860890388489,-7.948472023010254,4.636012077331543,-1.4046852588653564,-1.6177082061767578,-4.435561180114746,6.5557966232299805,-0.15854983031749725,-0.6896603107452393,-0.4593545198440552,-3.066218852996826,-9.456502914428711,-3.4398632049560547,-4.879152774810791,-8.755630493164062,-3.2833385467529297,-1.6941087245941162,-3.495120048522949,2.1290738582611084
Splashback,DnB,D:\MusicSubset\DnB\breakbeatpimp+splashback.mp3,151.9990808823529,0.1412124429719381,0.12748451246930478,0.3358059060384166,0.2589663002273456,0.12697467348427294,0.2805504518686316,0.19477602003115066,0.4578961779895581,0.18723148965548975,0.11910548214138625,0.16156613422655933,0.07688744733925941,-137.20323181152344,95.54862976074219,20.01593589782715,35.08850860595703,-4.050631523132324,18.901180267333984,3.258286476135254,18.33836555480957,-4.198552131652832,16.422927856445312,-8.291378021240234,9.690642356872559,-5.782242298126221,5.323251724243164,-5.281054496765137,3.7857518196105957,-4.41503381729126,5.1512603759765625,-2.733217716217041,2.110957384109497,-5.4780497550964355,0.15936237573623657,0.22749075293540955,7.9827351570129395,4.299838542938232,5.105850696563721,0.5121262669563293,2.7769417762756348,-0.1655070185661316,1.277245283126831,-0.8599537014961243,-1.5784680843353271,-2.0019688606262207,0.9782350659370422,1.069237232208252,1.9719266891479492,0.3973149061203003,0.24446818232536316,-0.7461845278739929,-1.6911869049072266
cspaceSlowGrooveVersion 408620,DnB,D:\MusicSubset\DnB\chemicalmike+cspaceslowgrooveversion.mp3,172.265625,0.4484148534918376,0.2790140722452281,0.32629735350976113,0.26834713475586314,0.13913433756345606,0.12207608426777646,0.28532541307889225,0.2216953569093923,0.12593506254786632,0.1415784873702206,0.2592541641866825,0.5317007352027842,-81.5825424194336,73.1285171508789,1.3414965867996216,40.64250564575195,1.7700937986373901,19.069866180419922,-14.80571460723877,7.493185043334961,-11.769148826599121,6.266860485076904,-11.669625282287598,5.940824508666992,-8.813389778137207,5.846721649169922,-7.673891067504883,0.9330893754959106,-7.743014812469482,-0.25874221324920654,-8.373432159423828,-0.7658612728118896,-7.087804794311523,-2.319010019302368,-6.511322975158691,-2.296038866043091,-5.528590202331543,-0.6809580326080322,-3.178964376449585,-1.8784127235412598,-2.536741256713867,1.714943289756775,-6.312236309051514,-6.791996955871582,-3.8953545093536377,1.1465721130371094,-0.6759014129638672,0.1852416843175888,-2.543226480484009,-2.5587756633758545,-1.0549626350402832,0.950456976890564
ArpeggioHeaven,DnB,D:\MusicSubset\DnB\chromophore+arpeggioheaven.mp3,184.5703125,0.20057535215795194,0.3633476041246763,0.1780649471785905,0.1569195279661338,0.1054296519862688,0.20415646452699268,0.15610615525293367,0.090165076705763,0.1653157713282253,0.17246326180371815,0.4537632688559903,0.1620510888614392,-176.20233154296875,82.19409942626953,15.358283996582031,43.031028747558594,-17.05030632019043,24.971628189086914,3.7854573726654053,22.544954299926758,3.5025105476379395,6.311153411865234,-6.362780570983887,13.463871002197266,9.80993938446045,16.57790756225586,7.684942722320557,15.69521427154541,2.2796058654785156,8.463082313537598,0.7873086929321289,1.7115671634674072,-2.4841349124908447,-2.408475160598755,-1.0669317245483398,4.858060359954834,3.2387962341308594,6.4058403968811035,1.6537407636642456,1.866523265838623,-0.5074619054794312,-1.9876017570495605,0.4261629581451416,2.033704996109009,5.540487766265869,-0.22533462941646576,-2.469048023223877,-3.395475149154663,-2.2302465438842773,-3.782474994659424,-3.3601362705230713,-3.311584711074829
